"","date","name","price.mean"
"429",2011-03-02,"청주",2020
"430",2011-03-03,"광주",1835
"431",2011-03-03,"대구",1905
"432",2011-03-03,"대전",1785
"433",2011-03-03,"부산",2360
"434",2011-03-03,"서울 ",1696.66666666667
"435",2011-03-03,"수원",1480
"436",2011-03-03,"울산",1880
"437",2011-03-03,"인천",1380
"438",2011-03-03,"전주",1380
"439",2011-03-03,"제주",1980
"440",2011-03-03,"청주",2020
"441",2011-03-04,"광주",1735
"442",2011-03-04,"대구",1860
"443",2011-03-04,"대전",1835
"444",2011-03-04,"부산",2360
"445",2011-03-04,"서울 ",1780
"446",2011-03-04,"수원",1480
"447",2011-03-04,"울산",1880
"448",2011-03-04,"인천",1780
"449",2011-03-04,"전주",1680
"450",2011-03-04,"제주",1980
"451",2011-03-04,"청주",2020
"452",2011-03-07,"광주",1735
"453",2011-03-07,"대구",1860
"454",2011-03-07,"대전",1860
"455",2011-03-07,"부산",2260
"456",2011-03-07,"서울 ",1761.66666666667
"457",2011-03-07,"수원",1480
"458",2011-03-07,"울산",1880
"459",2011-03-07,"인천",1680
"460",2011-03-07,"전주",1680
"461",2011-03-07,"제주",2240
"462",2011-03-07,"청주",2020
"463",2011-03-08,"광주",1760
"464",2011-03-08,"대구",1835
"465",2011-03-08,"대전",1860
"466",2011-03-08,"부산",2210
"467",2011-03-08,"서울 ",1761.66666666667
"468",2011-03-08,"수원",1480
"469",2011-03-08,"울산",1880
"470",2011-03-08,"인천",1680
"471",2011-03-08,"전주",1680
"472",2011-03-08,"제주",1980
"473",2011-03-08,"청주",2020
"474",2011-03-09,"광주",1760
"475",2011-03-09,"대구",1785
"476",2011-03-09,"대전",1860
"477",2011-03-09,"부산",2310
"478",2011-03-09,"서울 ",1761.66666666667
"479",2011-03-09,"수원",1480
"480",2011-03-09,"울산",1880
"481",2011-03-09,"인천",1680
"482",2011-03-09,"전주",1680
"483",2011-03-09,"제주",1980
"484",2011-03-09,"청주",1950
"485",2011-03-10,"광주",1760
"486",2011-03-10,"대구",1785
"487",2011-03-10,"대전",1860
"488",2011-03-10,"부산",2310
"489",2011-03-10,"서울 ",1761.66666666667
"490",2011-03-10,"수원",1480
"491",2011-03-10,"울산",1880
"492",2011-03-10,"인천",1680
"493",2011-03-10,"전주",1680
"494",2011-03-10,"제주",1980
"495",2011-03-10,"청주",1950
"496",2011-03-11,"광주",1760
"497",2011-03-11,"대구",1785
"498",2011-03-11,"대전",1860
"499",2011-03-11,"부산",2310
"500",2011-03-11,"서울 ",1761.66666666667
"501",2011-03-11,"수원",1480
"502",2011-03-11,"울산",1880
"503",2011-03-11,"인천",1680
"504",2011-03-11,"전주",1680
"505",2011-03-11,"제주",1980
"506",2011-03-11,"청주",1950
"507",2011-03-14,"광주",1760
"508",2011-03-14,"대구",1785
"509",2011-03-14,"대전",1860
"510",2011-03-14,"부산",2310
"511",2011-03-14,"서울 ",1793.33333333333
"512",2011-03-14,"수원",2510
"513",2011-03-14,"울산",1880
"514",2011-03-14,"인천",1680
"515",2011-03-14,"전주",1680
"516",2011-03-14,"제주",1980
"517",2011-03-14,"청주",1950
"518",2011-03-15,"광주",1760
"519",2011-03-15,"대구",1877.5
"520",2011-03-15,"대전",1860
"521",2011-03-15,"부산",2310
"522",2011-03-15,"서울 ",1793.33333333333
"523",2011-03-15,"수원",2510
"524",2011-03-15,"울산",1880
"525",2011-03-15,"인천",1680
"526",2011-03-15,"전주",1680
"527",2011-03-15,"제주",1940
"528",2011-03-15,"청주",1950
"529",2011-03-16,"광주",1760
"530",2011-03-16,"대구",1877.5
"531",2011-03-16,"대전",1860
"532",2011-03-16,"부산",2310
"533",2011-03-16,"서울 ",1793.33333333333
"534",2011-03-16,"수원",2510
"535",2011-03-16,"울산",1880
"536",2011-03-16,"인천",1680
"537",2011-03-16,"전주",1680
"538",2011-03-16,"제주",1940
"539",2011-03-16,"청주",1950
"540",2011-03-17,"광주",1760
"541",2011-03-17,"대구",1877.5
"542",2011-03-17,"대전",1860
"543",2011-03-17,"부산",2310
"544",2011-03-17,"서울 ",1793.33333333333
"545",2011-03-17,"수원",2510
"546",2011-03-17,"울산",1880
"547",2011-03-17,"인천",1680
"548",2011-03-17,"전주",1680
"549",2011-03-17,"제주",1940
"550",2011-03-17,"청주",1950
"551",2011-03-18,"광주",1760
"552",2011-03-18,"대구",1877.5
"553",2011-03-18,"대전",1860
"554",2011-03-18,"부산",2310
"555",2011-03-18,"서울 ",1793.33333333333
"556",2011-03-18,"수원",2510
"557",2011-03-18,"울산",1880
"558",2011-03-18,"인천",1680
"559",2011-03-18,"전주",1680
"560",2011-03-18,"제주",1940
"561",2011-03-18,"청주",2050
"562",2011-03-21,"광주",1760
"563",2011-03-21,"대구",1877.5
"564",2011-03-21,"대전",1860
"565",2011-03-21,"부산",2310
