"","서울","부산","대구","인천","광주","대전","울산","수원","청주","전주","제주"
"215",1666.66666666667,1735,1690,1680,1660,1710,1680,2150,1680,1650,1650
"216",1690,1735,1690,1680,1660,1710,1680,2150,1680,1650,1650
"217",1706.66666666667,1735,1690,1680,1660,1710,1680,2150,1580,1650,1650
"218",1563.33333333333,1627.5,1762.5,1350,1645,1695,1950,2150,1580,1650,1650
"219",1608.33333333333,1627.5,1762.5,1350,1645,1695,1950,2150,1280,1650,1650
"220",1648.33333333333,1627.5,1827.5,1350,1645,1695,1950,2290,1880,1650,1650
"221",1698.33333333333,1627.5,1855,1350,1695,1695,1950,2290,1980,1650,1650
"222",1698.33333333333,1677.5,1855,1350,1695,1695,1950,2290,1980,1650,1650
"223",2003.33333333333,1910,1942.5,1850,2002.5,2002.5,2380,2290,1980,1980,2750
"224",2046.66666666667,1760,1955,1850,2002.5,1902.5,2380,2290,2280,1980,2750
"225",2046.66666666667,1760,1822.5,2050,1920,1895,1980,2290,2280,1980,2790
"226",2046.66666666667,1760,1867.5,2050,1920,1895,1980,2500,2380,1980,2790
"227",1931.66666666667,1760,1867.5,2050,1920,1895,1980,2500,2380,1980,2350
"228",1926.66666666667,1860,1867.5,2080,1977.5,1895,1850,2500,1880,1850,2380
"229",1938.33333333333,1960,2025,2080,1970,1895,1850,2450,2380,1850,2380
"230",1871.66666666667,1927.5,2025,2080,1945,1895,1850,2450,2380,1850,2380
"231",1871.66666666667,1910,2057.5,2080,1977.5,1895,1850,2450,2380,1850,2380
"232",1976.66666666667,1852.5,2232.5,2080,2152.5,1895,1850,2450,1880,1850,2380
"233",1976.66666666667,1852.5,2122.5,2080,2152.5,1895,1850,1800,1880,1850,2080
"234",2098.33333333333,1902.5,2037.5,2080,1945,1895,2580,1800,1880,1850,2080
"235",1976.66666666667,1902.5,1962.5,2080,1945,1895,1850,1800,1880,1850,2080
"236",1976.66666666667,1952.5,1962.5,2080,2020,1895,1850,1800,2450,1850,2080
"237",2181.66666666667,2210,2195,2080,2252.5,2182.5,2580,1800,2450,2050,2080
"238",2093.33333333333,2027.5,1965,2480,2070,2000,1850,1800,2000,2050,2080
"239",2126.66666666667,1982.5,2125,2380,2070,2120,2050,1800,2100,2050,2380
"240",2126.66666666667,1982.5,2125,2380,2070,2120,2050,1800,2100,2050,2380
"241",2126.66666666667,1982.5,2125,2380,2070,2120,2050,1800,2100,2050,2380
"242",1943.33333333333,1882.5,2132.5,1880,1995,1995,2050,1800,2380,2050,2530
"243",1943.33333333333,1882.5,2022.5,1880,1995,1995,2050,1800,1980,2050,2080
"244",1943.33333333333,2165,2177.5,1880,2177.5,1995,2050,1800,1980,2050,2080
"245",1943.33333333333,2165,2177.5,1880,2177.5,1995,2050,1800,1980,2050,2080
"246",1943.33333333333,2165,2177.5,1880,2177.5,1995,2050,1800,1980,2050,2080
"247",2041.66666666667,1907.5,2177.5,2180,2070,2070,2050,1800,1980,2050,1880
"248",2041.66666666667,1907.5,2060.5,2180,2070,2070,2050,1800,1980,2050,1880
"249",1991.66666666667,1982.5,2102.5,2180,2020,2045,2050,1800,2100,2050,1880
"250",2020,1982.5,2102.5,2180,2020,2037.5,2050,1800,1980,2050,1880
"251",2020,1982.5,2077.5,2180,2020,2037.5,2050,1800,1980,2050,1880
"252",1975,1840,2010,2280,1952.5,1902.5,1980,1800,1980,1850,2380
"253",1953.33333333333,1807.5,1977.5,2280,1920,1870,1850,1800,1980,1850,2380
"254",1913.33333333333,1795,1977.5,2050,1920,1870,1850,1800,1980,1850,2380
"255",1913.33333333333,1795,1977.5,2050,1920,1870,1850,1800,1880,1850,2380
"256",1835,1795,1977.5,2050,1770,1870,1850,1800,1880,1850,2380
"257",1666.66666666667,1802.5,1842.5,1580,1635,1685,1680,1800,1880,1480,1680
"258",1616.66666666667,1760,1842.5,1580,1635,1660,1580,1680,1600,1480,1580
"259",1616.66666666667,1860,1792.5,1580,1635,1660,1580,1680,1600,1480,2380
"260",1616.66666666667,1860,1742.5,1580,1635,1660,1580,1800,1480,1480,2380
"261",1616.66666666667,1760,1742.5,1580,1635,1660,1580,1800,1480,1480,2380
"262",1890,1810,1860,2050,1785,1870,1880,1800,1480,1650,1880
"263",1776.66666666667,1772.5,1822.5,1850,1752.5,1832.5,1880,1800,1480,1650,1570
"264",1776.66666666667,1910,1860,2050,1820,1832.5,1880,1800,1980,1780,1880
"265",1776.66666666667,1747.5,1807.5,2050,1782.5,1832.5,1730,1800,1980,2180,1880
"266",1776.66666666667,1747.5,1807.5,2050,1782.5,1832.5,1730,1800,1980,1750,1770
"267",1865,1772.5,1802.5,2150,1782.5,1832.5,1730,1800,1980,1750,1770
"268",1865,1735,1802.5,2050,1782.5,1832.5,1730,1800,1980,1750,1770
"269",1710,1753.33333333333,1860,1865,1760,1866.66666666667,1730,1730,1770,1625,1770
"270",1600,1553.33333333333,1840,1735,1760,1800,1730,1730,1670,1625,1770
"271",1600,1603.33333333333,1840,1735,1760,1800,1480,1650,1670,1625,1770
"272",1578.57142857143,1803.33333333333,1753.33333333333,1735,1710,1800,1580,1650,1620,1625,1640
"273",1604.28571428571,1803.33333333333,1803.33333333333,1735,1760,1800,1580,1650,1590,1625,1640
"274",1625.71428571429,1770,1803.33333333333,1735,1760,1800,1580,1650,1590,1625,1640
"275",1530,1686.66666666667,1596.66666666667,1745,1553.33333333333,1710,1480,1650,1640,1440,1900
"276",1515.71428571429,1686.66666666667,1580,1695,1553.33333333333,1710,1480,1665,1640,1440,1380
"277",1515.71428571429,1720,1580,1695,1553.33333333333,1710,1480,1665,1640,1440,1380
"278",1515.71428571429,1686.66666666667,1580,1695,1553.33333333333,1710,1480,1665,1685,1440,1380
"279",1515.71428571429,1686.66666666667,1580,1695,1553.33333333333,1710,1480,1665,1685,1440,1380
"280",1522.85714285714,1506.66666666667,1786.66666666667,1460,1770,1553.33333333333,1730,1665,1685,1625,2040
"281",1522.85714285714,1570,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,1625,2040
"282",1537.14285714286,1636.66666666667,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,1625,2040
"283",1537.14285714286,1636.66666666667,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,1625,2040
"284",1551.42857142857,1636.66666666667,1786.66666666667,1460,1770,1676.66666666667,1730,1665,1685,1625,2040
"285",1608.57142857143,1770,1786.66666666667,1660,1793.33333333333,1816.66666666667,1730,1665,1685,1625,2040
"286",1608.57142857143,1736.66666666667,1786.66666666667,1660,1793.33333333333,1750,1730,1665,1685,1625,2040
"287",1611.42857142857,1570,1786.66666666667,1660,1760,1750,1730,1665,1685,1625,2040
"288",1611.42857142857,1770,1786.66666666667,1660,1760,1750,1730,1665,1685,1625,2040
"289",1540,1770,1786.66666666667,1420,1760,1393.33333333333,1730,1665,1685,1340,2040
"290",1394.28571428571,1553.33333333333,1546.66666666667,1420,1520,1393.33333333333,1580,1665,1535,1340,1180
"291",1394.28571428571,1820,1646.66666666667,1375,1620,1393.33333333333,1880,1665,1485,1340,1180
"292",1394.28571428571,1820,1646.66666666667,1375,1620,1393.33333333333,1880,1665,1485,1340,1180
"293",1394.28571428571,1820,1646.66666666667,1375,1620,1393.33333333333,1880,1680,1485,1340,1180
"294",1587.14285714286,1686.66666666667,1846.66666666667,1615,1810,1743.33333333333,1880,1650,1440,1625,2070
"295",1587.14285714286,1686.66666666667,1846.66666666667,1615,1776.66666666667,1743.33333333333,1880,1650,1440,1625,2070
"296",1630,1770,1786.66666666667,1615,1726.66666666667,1676.66666666667,1750,1650,1740,1625,2070
"297",1630,1770,1786.66666666667,1615,1726.66666666667,1676.66666666667,1750,1650,1740,1625,2070
"298",1630,1770,1786.66666666667,1615,1726.66666666667,1676.66666666667,1750,1650,1690,1625,2070
"299",1485.71428571429,1383.33333333333,1600,1465,1540,1643.33333333333,1170,1650,1690,1625,2070
"300",1485.71428571429,1383.33333333333,1600,1465,1540,1643.33333333333,1170,1650,1650,1625,2070
"301",1587.14285714286,1703.33333333333,1786.66666666667,1465,1776.66666666667,1643.33333333333,1730,1650,1650,1625,1880
"302",1565.71428571429,1753.33333333333,1786.66666666667,1465,1776.66666666667,1643.33333333333,1730,1650,1650,1625,1880
"303",1637.14285714286,1820,1786.66666666667,1465,1776.66666666667,1643.33333333333,1730,1650,1650,1625,1880
"304",1701.42857142857,1820,1836.66666666667,1615,1776.66666666667,1743.33333333333,1880,1650,1650,1625,2250
"305",1611.42857142857,1553.33333333333,1836.66666666667,1615,1776.66666666667,1743.33333333333,1880,1650,1650,1625,2250
"306",1592.85714285714,1776.66666666667,1793.33333333333,1615,1776.66666666667,1743.33333333333,1750,1650,1650,1625,2250
"307",1664.28571428571,1710,1793.33333333333,1615,1733.33333333333,1743.33333333333,1750,1650,1670,1625,2250
"308",1607.14285714286,1710,1793.33333333333,1615,1733.33333333333,1743.33333333333,1750,1650,1670,1625,2250
"309",1568.57142857143,1486.66666666667,1703.33333333333,1615,1643.33333333333,1743.33333333333,1480,1650,1470,1625,1650
"310",1568.57142857143,1486.66666666667,1703.33333333333,1615,1643.33333333333,1743.33333333333,1480,1650,1470,1625,1650
"311",1582.85714285714,1486.66666666667,1703.33333333333,1615,1643.33333333333,1743.33333333333,1480,1650,1470,1625,1650
"312",1568.57142857143,1486.66666666667,1703.33333333333,1615,1643.33333333333,1743.33333333333,1480,1650,1470,1625,1650
"313",1625.71428571429,1486.66666666667,1703.33333333333,1575,1643.33333333333,1753.33333333333,1480,1650,1470,1625,1650
"314",1447.14285714286,1486.66666666667,1463.33333333333,1285,1420,1326.66666666667,1480,1650,1470,1290,1280
"315",1447.14285714286,1486.66666666667,1463.33333333333,1285,1420,1326.66666666667,1480,1650,1470,1290,1280
